Elapsedmins, Nodes
6,3
8,9
8,5
8,7
7,3
8,6
8,7
9,7
8,6
8,7
8,8
8,3
9,5
8,6
8,9
8,10
8,7
8,5
8,7
8,10
8,9
7,1
8,5
8,9
8,5
8,2
8,2
8,8
8,9
8,3
8,10
8,7
8,4
8,5
8,8
9,9
8,5
8,8
8,8
8,1
8,4
8,8
8,5
8,5
8,1
8,7
8,9
8,8
8,4
8,6
8,1
8,2
8,7
8,1
8,8
8,8
8,10
8,5
8,2
8,9
8,6
8,6
8,10
8,1
8,6
8,6
8,5
8,8
9,9
8,4
8,8
8,4
8,5
8,9
8,10
8,8
8,3
8,6
8,7
8,4
8,1
8,5
8,6
9,4
8,6
8,3
8,5
8,5
8,1
8,7
8,8
8,8
8,7
8,4
8,6
8,8
8,7
8,1
8,8
8,9
8,8
8,8
8,10
9,1
9,8
8,5
8,7
8,2
8,9
8,2
8,2
9,4
8,2
8,10
8,6
8,1
8,2
8,5
8,10
8,7
8,7
8,2
8,2
8,2
8,5
8,8
8,1
8,8
8,1
8,10
8,7
8,10
8,9
8,9
8,4
9,10
8,2
8,3
8,2
8,5
8,4
8,9
8,8
8,7
8,8
8,1
8,7
8,4
8,1
8,6
8,10
8,7
8,3
8,9
8,7
8,3
9,2
8,5
8,6
8,4
8,6
8,10
8,5
8,4
8,2
8,2
8,5
8,2
8,9
8,8
8,5
8,4
8,6
8,3
8,1
8,2
9,8
8,3
8,1
8,6
9,2
8,10
8,9
8,3
8,10
8,2
9,2
8,6
8,3
8,5
8,1
8,3
8,7
8,5
8,9
8,5
8,8
8,10
8,10
8,2
8,5
8,1
8,4
8,9
8,3
8,1
8,1
9,4
8,3
8,5
9,5
8,8
8,9
8,10
8,1
8,1
8,4
8,10
8,7
8,3
8,5
8,9
8,5
8,7
8,9
8,10
8,9
8,1
8,4
8,8
8,1
8,9
8,2
8,4
9,9
8,7
8,7
8,4
8,2
8,9
8,4
8,5
8,9
8,7
8,2
8,7
8,5
8,1
8,3
8,2
8,7
8,5
8,7
9,6
8,5
8,6
8,5
8,7
8,1
8,9
8,9
8,5
8,8
8,9
8,5
8,3
8,4
8,5
8,10
8,7
8,8
8,10
8,7
8,1
8,5
9,2
9,5
8,3
8,8
8,6
8,8
8,1
8,4
9,8
8,1
8,1
8,8
8,8
8,3
8,9
8,1
8,7
8,2
8,8
8,2
8,9
8,10
8,5
8,5
8,4
8,5
8,4
8,1
8,7
8,9
8,6
8,9
8,5
8,9
8,7
8,2
8,5
8,1
9,5
8,4
8,2
8,7
8,10
8,2
8,9
8,5
8,2
8,8
8,9
8,9
9,10
8,1
8,5
8,9
8,7
8,9
8,8
8,1
8,3
8,2
9,9
8,6
8,8
8,9
8,7
8,7
8,9
8,6
8,7
8,5
8,10
8,10
8,3
8,10
8,9
8,4
8,1
8,8
8,6
8,8
8,5
8,3
8,8
8,1
8,3
8,8
8,10
8,6
9,9
8,5
8,1
8,10
8,2
8,6
8,3
8,3
8,9
8,3
8,6
8,5
8,4
8,10
8,10
8,9
8,2
8,10
8,9
8,5
8,5
8,1
8,6
8,1
8,2
8,5
8,5
8,6
8,3
8,8
8,7
8,10
8,7
8,7
8,9
8,6
